plot,tag,jday,year,spp,dend.num,ref.dend,ref.dbh,prev.dend,dend,dbh,notes,ref.notes
A1,1,236,2021,yb,4,14.51,19.4,21.94,22.61,,,NA
A1,2,236,2021,rm,1,115.72,35.3,118.96,120.15,,"removed, delete","check if inc matches, rm next"
A1,2,236,2021,rm,2,10.43,35.3,14.34,16.00,,,NA
A1,6,236,2021,rm,3,64.49,35.1,81.57,82.33,,,NA
A1,8,236,2021,yb,3,26.95,27.0,35.87,36.35,,,NA
A1,9,236,2021,yb,2,32.69,18.0,45.76,46.10,,,NA
A1,10,236,2021,yb,2,29.84,16.7,42.13,42.50,,,NA
A1,14,236,2021,ro,3,69.21,62.7,113.79,115.28,,"needs new ASAP, line drawn",NA
A1,15,236,2021,rm,1,33.45,23.0,35.34,35.62,,,NA
A1,18,236,2021,rm,2,31.42,29.0,42.83,44.01,,,NA
A1,19,236,2021,ro,3,75.59,54.2,131.29,132.19,55.4,"+.9mm, removed, delete",NA
A1,19,236,2021,ro,4,19.07,55.4,17.17,19.07,55.4,,NA
A1,801,236,2021,hem,1,39.93,10.9,62.49,62.59,,,NA
A1,828,236,2021,yb,1,36.84,11.9,49.73,50.00,,,NA
A1,903,236,2021,hem,1,21.59,10.3,47.04,47.32,,,NA
A2,25,236,2021,rm,2,12.13,16.1,12.77,13.13,,,NA
A2,26,236,2021,bo,2,65.64,43.8,93.00,93.90,,,NA
A2,27,236,2021,rm,4,10.20,13.0,19.96,20.44,,,NA
A2,29,236,2021,rm,1,54.72,16.9,58.81,58.85,,,NA
A2,30,236,2021,rm,2,84.48,25.0,99.48,100.18,,,NA
A2,31,236,2021,bo,2,49.52,43.3,78.37,79.38,,,NA
A2,32,236,2021,ro,2,54.14,45.7,85.54,86.72,,,NA
A2,33,236,2021,bo,2,22.95,33.9,29.78,30.60,,,NA
A2,34,236,2021,ro,2,21.78,43.4,41.33,41.76,,,NA
A2,35,236,2021,rm,1,26.92,22.2,29.12,29.20,,,NA
A2,892,236,2021,hem,2,18.12,12.8,35.28,35.99,,,NA
A2,893,236,2021,rm,1,20.29,10.6,29.28,29.45,,,NA
A2,911,236,2021,beech,1,32.69,10.1,53.02,53.34,,,NA
A2,990,236,2021,hem,1,29.17,10.3,55.78,56.11,,,NA
A3,51,236,2021,ro,2,48.06,25.5,75.38,76.56,,,NA
A3,52,236,2021,beech,3,23.63,16.2,54.57,55.31,,,bark disease
A3,53,236,2021,rm,2,18.55,12.0,19.15,19.09,,,NA
A3,54,236,2021,ro,4,20.95,40.3,25.43,27.12,,,NA
A3,55,236,2021,rm,3,43.26,18.5,45.93,46.09,,,NA
A3,56,236,2021,rm,3,28.99,15.9,36.00,36.55,,,NA
A3,57,236,2021,ro,4,27.14,62.2,33.08,33.94,,,NA
A3,58,236,2021,ro,3,60.39,44.1,97.99,99.52,,,NA
A3,60,236,2021,rm,1,88.29,23.2,109.86,110.28,,,NA
A3,61,236,2021,ro,2,66.50,50.5,108.31,110.13,,,NA
A3,70,236,2021,ro,2,15.52,45.3,21.84,22.38,,,NA
A3,263,236,2021,bb,1,15.10,10.6,18.30,18.48,,,NA
